DateTime,CV1.HIGHLIMIT,CV10.HIGHLIMIT,CV2.HIGHLIMIT,CV3.HIGHLIMIT,CV4.HIGHLIMIT,CV5.HIGHLIMIT,CV6.HIGHLIMIT,CV7.HIGHLIMIT,CV8.HIGHLIMIT,CV9.HIGHLIMIT,CV1.LOWLIMIT,CV10.LOWLIMIT,CV2.LOWLIMIT,CV3.LOWLIMIT,CV4.LOWLIMIT,CV5.LOWLIMIT,CV6.LOWLIMIT,CV7.LOWLIMIT,CV8.LOWLIMIT,CV9.LOWLIMIT,CV1.STATUS,CV10.STATUS,CV2.STATUS,CV3.STATUS,CV4.STATUS,CV5.STATUS,CV6.STATUS,CV7.STATUS,CV8.STATUS,CV9.STATUS,CV1.READVALUE,CV10.READVALUE,CV2.READVALUE,CV3.READVALUE,CV4.READVALUE,CV5.READVALUE,CV6.READVALUE,CV7.READVALUE,CV8.READVALUE,CV9.READVALUE,MV1.HIGHLIMIT,MV2.HIGHLIMIT,MV3.HIGHLIMIT,MV4.HIGHLIMIT,MV5.HIGHLIMIT,MV1.LOWLIMIT,MV2.LOWLIMIT,MV3.LOWLIMIT,MV4.LOWLIMIT,MV5.LOWLIMIT,MV1.READVALUE,MV2.READVALUE,MV3.READVALUE,MV4.READVALUE,MV5.READVALUE,MV1.SENTVALUE,MV1.SENTVALUEIFON,MV2.SENTVALUE,MV2.SENTVALUEIFON,MV3.SENTVALUE,MV3.SENTVALUEIFON,MV4.SENTVALUE,MV4.SENTVALUEIFON,MV5.SENTVALUE,MV5.SENTVALUEIFON,OMMON.TURNONOFF,CV1._NAME,Time_diff
2024-01-10 09:38:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,366.259521484375,58.0254745483398,3.2370388507843,54.9219970703125,50.1550483703613,513.714477539063,10.9258918762207,52.8651657104492,45.6900939941406,397.880523681641,2400,100,100,90,61,1000,0,0,0,0,2391.52807617188,80.5,78,73,52.0,2392.37475585938,2392.37475585938,82.5,82.5,78,78,75,75,53.0,53.0,1,,30.0
2024-01-10 09:38:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,363.370330810547,59.6052360534668,9.41940593719482,55.7045478820801,47.9131088256836,519.060852050781,9.11909961700439,53.171070098877,45.4157638549805,396.380615234375,2400,100,100,90,61,1000,0,0,0,0,2393.017578125,84.5,79,76,52.0,2393.017578125,2393.017578125,84.5,84.5,79,79,76,76,52.0,52.0,1,,30.0
2024-01-10 09:39:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,372.301544189453,59.8984832763672,7.19864654541016,56.7685699462891,45.7373924255371,531.321899414063,12.9029569625854,53.9373359680176,45.463062286377,395.594757080078,2400,100,100,90,61,1000,0,0,0,0,2393.88403320313,89.5,80,79,52.0,2393.88403320313,2393.88403320313,89.5,89.5,80,80,79,79,52.0,52.0,1,,30.0
2024-01-10 09:39:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,362.436126708984,57.9687194824219,6.89752721786499,56.4743690490723,42.2657012939453,578.792297363281,19.2125434875488,53.6171836853027,46.9387702941895,393.411193847656,2400,100,100,90,61,1000,0,0,0,0,2394.6689453125,93.5,80,81,53.0,2391.92895507813,2391.92895507813,95.5,95.5,79,79,82,82,52.0,52.0,1,,30.0
2024-01-10 09:40:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,375.584167480469,58.9998168945313,9.946364402771,56.8431587219238,40.9224319458008,593.027954101563,23.9329071044922,53.4075736999512,47.5347290039063,390.922637939453,2400,100,100,90,61,1000,0,0,0,0,2393.2099609375,96.5,79,83,53.0,2393.2099609375,2393.2099609375,96.5,96.5,79,79,83,83,53.0,53.0,1,,30.0
2024-01-10 09:40:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,387.123229980469,59.3971252441406,8.77952575683594,54.9323081970215,38.6805000305176,625.094482421875,29.797887802124,53.2107086181641,50.7793846130371,394.152862548828,2400,100,100,90,61,1000,0,0,0,0,2395.18139648438,96.5,77,85,53.0,2395.18139648438,2395.18139648438,96.5,96.5,77,77,85,85,53.0,53.0,1,,30.0
2024-01-10 09:41:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,396.517669677734,59.79443359375,6.37056827545166,52.2905120849609,37.6210136413574,656.066650390625,43.334644317627,52.0734558105469,53.1537590026855,401.672424316406,2400,100,100,90,61,1000,0,0,0,0,2396.779296875,96.5,74,86,53.0,2396.67529296875,2396.67529296875,96.5,96.5,72,72,86,86,53.0,53.0,1,,30.0
2024-01-10 09:41:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,416.011779785156,60.7025566101074,10.3039445877075,52.178524017334,39.3710479736328,687.278747558594,45.6617164611816,51.3470916748047,53.229434967041,395.055511474609,2400,100,100,90,61,1000,0,0,0,0,2397.68872070313,96.5,70,86,53.0,2398.43701171875,2398.43701171875,96.5,96.5,68,68,86,86,53.0,53.0,1,,30.0
2024-01-10 09:42:15,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,407.217163085938,59.1038780212402,1.28917098045349,51.9284248352051,37.4034461975098,688.171691894531,47.6577033996582,51.4330520629883,54.8848762512207,398.165466308594,2400,100,100,90,61,1000,0,0,0,0,2398.99658203125,96.5,67,86,53.0,2398.99658203125,2398.99658203125,96.5,96.5,67,67,86,86,53.0,53.0,1,,30.0
2024-01-10 09:42:45,700,55,60,50,50,933,55,50,50,933,500,50.0,0,5,10,400,50.0,5,5,400,1,1,1,1,1,1,1,1,1,1,424.160308837891,59.79443359375,4.73322868347168,50.997386932373,38.5953598022461,708.636291503906,47.8185195922852,50.8431358337402,56.0957069396973,394.113555908203,2400,100,100,90,61,1000,0,0,0,0,2399.328125,96.5,64,86,53.0,2399.328125,2399.328125,96.5,96.5,64,64,86,86,53.0,53.0,1,,30.0
